Business Summary Report,
,,,
,
,
,Agreement Document No,Currency,Amount,Pool Mode?,,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance,
C007382NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007393NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007394NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007398NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007400NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007417NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007419NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007421NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007427NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007429NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007430NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007434NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007439NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007442NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007460NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007462NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007464NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007466NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007469NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","5 500.00","4 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","5 500.00","4 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007471NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","5 500.00","4 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","5 500.00","4 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007473NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","5 500.00","4 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","5 500.00","4 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007477NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"1 420.00","-2 580.00",0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"1 420.00","-2 580.00",0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007481NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007482NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007492NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007493NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007495NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007507NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007510NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007512NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007518NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007520NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007525NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007526NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007529NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007530NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007532NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007546NM,C007546AGE,USD,"99 999 999.00",,,,,,,,,,
,,,,,C007546NM01,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007574NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007580NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007581NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"9 000.00","6 000.00","4 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"9 000.00","6 000.00","4 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007582NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"9 000.00","6 000.00","4 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"9 000.00","6 000.00","4 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007583NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007608NM,zoe010,SEK,"5 000 000.00",,,,,,,,,,
,,,,,C007603NM,Active,1,"7 900.00",0.00,0.00,"7 110.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"7 900.00",0.00,0.00,"7 110.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007652NM,C007652AGE,USD,"99 999 999.00",,,,,,,,,,
,,,,,C007652NM1,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007675NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007683 CSDVD1,AGRDOC-PF-C007683,USD,"100 000.00",,,,,,,,,,
,,,,,C007684 CSDVD 2,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007693NM,C007693AGE,USD,"999 999 999.00",,,,,,,,,,
,,,,,C007693NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007694NM,C007694AGE,USD,"111 111 111.00",,,,,,,,,,
,,,,,C007694NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007695NM,C007695AGE,USD,"111 111 111.00",,,,,,,,,,
,,,,,C007695NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007696NM,C007696AGE,USD,"11 111 111.00",,,,,,,,,,
,,,,,C007696NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007697NM,C007697AGE,USD,"111 111 111.00",,,,,,,,,,
,,,,,C007697NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007699NM,C007699AGE,USD,"111 111 111.00",,,,,,,,,,
,,,,,C007699NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007700NM,C007700AGE,USD,"111 111 111.00",,,,,,,,,,
,,,,,C007700NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007701NM,C007701AGE,USD,"11 111 111.00",,,,,,,,,,
,,,,,C007701NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007702NM,C007702AGE,USD,"111 111 111.00",,,,,,,,,,
,,,,,C007702NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007703NM,C007703AGE,USD,"111 111 111.00",,,,,,,,,,
,,,,,C007703NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007705NM,C007705AGE,USD,"111 111 111.00",,,,,,,,,,
,,,,,C007705NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007708NM,C007708AGE,USD,"111 111 111.00",,,,,,,,,,
,,,,,C007708NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007709NM,C007709AGE,USD,"111 111 111.00",,,,,,,,,,
,,,,,C007709NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007710NM,C007710AGE,USD,"111 111 111.00",,,,,,,,,,
,,,,,C007710NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007711NM,C007711AGE,USD,"111 111 111.00",,,,,,,,,,
,,,,,C007711NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007712NM,C007712AGE,USD,"111 111 111.00",,,,,,,,,,
,,,,,C007712NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007715NM,C007715AGE,USD,"111 111 111.00",,,,,,,,,,
,,,,,C007715NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007749NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007753NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007754NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007755NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007757NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007759NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007760NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007763NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007766NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,ABC Import Company,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007767NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007772NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007773NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007774NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007775NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007776NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007777NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007778NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007779NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007780NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007781NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007782NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007783NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007784NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007785NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007786NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007787NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007788NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"790 000.00",0.00,0.00,"616 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"790 000.00",0.00,0.00,"616 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007790NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007792NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
