Business Summary Report,
,,,
,
,
,Agreement Document No,Currency,Amount,Pool Mode?,,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance,
,,,,,,,,,,,,,
C007798NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00",0.00,"195 000.00","195 000.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00",0.00,"195 000.00","195 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007799NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007800NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00",0.00,"195 000.00","195 000.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00",0.00,"195 000.00","195 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007801NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007802NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007804NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","60 000.00",0.00,"195 000.00","46 800.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00",0.00,"195 000.00","46 800.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007809NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007812NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007823NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007824NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,"3 000 000.00","660 000.00",0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00","660 000.00",0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007827NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007830NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","55 000.00",0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","55 000.00",0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007831NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007833NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007836NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007837NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007840NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,"3 000 000.00","3 000 000.00",0.00,"2 340 000.00","2 340 000.00",
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00","3 000 000.00",0.00,"2 340 000.00","2 340 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007842NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007844NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,"3 000 000.00","3 000 000.00",0.00,"2 340 000.00","2 340 000.00",
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00","3 000 000.00",0.00,"2 340 000.00","2 340 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007845NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"3 000 000.00","3 000 000.00",0.00,"2 340 000.00","2 340 000.00",
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00","3 000 000.00",0.00,"2 340 000.00","2 340 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007846NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,"3 000 000.00","3 000 000.00",0.00,"2 340 000.00","2 340 000.00",
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00","3 000 000.00",0.00,"2 340 000.00","2 340 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007848NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007849NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","101 800.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","101 800.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007852NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"2 999 540.00","659 898.80",0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"2 999 540.00","659 898.80",0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007855NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"3 000 000.00","660 000.00",0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00","660 000.00",0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007856NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","101 800.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","101 800.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007859NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","101 800.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","101 800.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007866NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007867NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007913NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,2,"3 000 000.00","3 000 000.00",0.00,"2 340 000.00","2 340 000.00",
,,,,,,,,,,,,,
,,,,,,,2,"3 000 000.00","3 000 000.00",0.00,"2 340 000.00","2 340 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007915NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007917NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007920NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007922NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007923NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007924NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007925NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007926NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007927NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007928NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007929NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007930NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007931NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007932NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007933NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007934NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007935NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007936NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007937NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007939NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007969NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00",0.00,0.00,"2 340 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007970NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"3 000 000.00","3 000 000.00",0.00,"2 340 000.00","2 340 000.00",
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00","3 000 000.00",0.00,"2 340 000.00","2 340 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007972NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007973NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"2 999 540.00","2 999 540.00",0.00,"2 339 641.20","2 339 641.20",
,,,,,,,,,,,,,
,,,,,,,1,"2 999 540.00","2 999 540.00",0.00,"2 339 641.20","2 339 641.20",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007974NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007975NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007976NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007978NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007980NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007981NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007985NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007987NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007989NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007991NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007994NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007996NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008024NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"2 999 540.00",0.00,0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"2 999 540.00",0.00,0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008025NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"2 999 540.00",0.00,0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"2 999 540.00",0.00,0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008026NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008027NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008028NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008030NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008033NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008069NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008079NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008081NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008082NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008083NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008084NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008085NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008086NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008088NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008089NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008090NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008093NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,"500 000.00","330 000.00","257 400.00","132 600.00",0.00,
,,,,,,,,,,,,,
,,,,,,,14,"500 000.00","330 000.00","257 400.00","132 600.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008094NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008095NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008133NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
