Business Summary Report,
,,,
,
,
Buyer Name,Main Ref. No.,Currency,Limit Amount,Seller Name,Number of Invoices,Total Invoice Amount,Total Payment Amount,Total Invoice Balance
IF BUYER MNO,IFCSBANK2406000505,USD,"2 000.00",IF SELLER PQR,,0.00,0.00,0.00
IF BUYER MNO,IFCSBANK2406000505,USD,"2 000.00",IF SELLER PQR,4,"23 000.00",0.00,"23 000.00"
IF BUYER MNO,IFCSBANK2406000505,USD,"2 000.00",IF SELLER PQR,,0.00,0.00,0.00
IF BUYER MNO,IFCSBANK2406000505,USD,"2 000.00",IF SELLER PQR,,0.00,"10 500.00",0
IF BUYER MNO,IFCSBANK2406000505,USD,"2 000.00",IF SELLER PQR,,0.00,0.00,0.00
IF BUYER MNO,IFCSBANK2406000505,USD,"2 000.00",IF SELLER PQR,,0.00,0.00,0.00
IF BUYER MNO,IFCSBANK2406000505,USD,"2 000.00",IF SELLER PQR,,0.00,0.00,0.00
IF BUYER MNO,IFCSBANK2406000308PCA,,0.00,,,0.00,0.00,0.00
IF BUYER MNO,IFCSBANK2406003488PCI,,0.00,IF SELLER PQR,,0.00,0.00,0.00
IF BUYER WWW,IFCSBANK2406000506,USD,"10 000.00",IF SELLER YYY,,0.00,"23 000.00",0
IF BUYER WWW,IFCSBANK2406000506,USD,"10 000.00",IF SELLER YYY,1,0.00,0.00,0.00
IF BUYER WWW,IFCSBANK2406000506,USD,"10 000.00",IF SELLER YYY,4,"23 000.00",0.00,"23 000.00"
IF BUYER WWW,IFCSBANK2406000309PCA,,0.00,,,0.00,0.00,0.00
IF BUYER WWW,IFCSBANK2406003489PCI,,0.00,IF SELLER YYY,,0.00,0.00,0.00
IF TEST A,IFCSBANK2304000061PCA,,0.00,IF TEST B,,0.00,0.00,0.00
,EFCSBANK2309005518SIF,,0.00,C010095nm,,0.00,0.00,0.00
,EFCSBANK2309005527SIF,,0.00,C010129nm,,0.00,0.00,0.00
,EFCSBANK2309005557SIF,,0.00,C010229nm,,0.00,0.00,0.00
,IFCSBANK2304003324SIF,,0.00,IF TEST B,,0.00,0.00,0.00
,IFCSBANK2304003325SIF,,0.00,C009482nm,,0.00,0.00,0.00
,IFCSBANK2305003326SIF,,0.00,C009521nm,,0.00,0.00,0.00
,IFCSBANK2308003327SIF,,0.00,C009985nm,,0.00,0.00,0.00
,IFCSBANK2308003328SIF,,0.00,C009983nm,,0.00,0.00,0.00
,IFCSBANK2308003329SIF,,0.00,C009994nm,,0.00,0.00,0.00
,IFCSBANK2309003330SIF,,0.00,C010095nm,,0.00,0.00,0.00
,IFCSBANK2309003331SIF,,0.00,C010108nm,,0.00,0.00,0.00
,IFCSBANK2309003332SIF,,0.00,C010112nm,,0.00,0.00,0.00
,IFCSBANK2309003333SIF,,0.00,C010120nm,,0.00,0.00,0.00
,IFCSBANK2309003334SIF,,0.00,C010122nm,,0.00,0.00,0.00
,,,,,,,,,
,IFCSBANK2309003335SIF,,0.00,C010124nm,,0.00,0.00,0.00
,IFCSBANK2309003336SIF,,0.00,C010126nm,,0.00,0.00,0.00
,IFCSBANK2309003337SIF,,0.00,C010129nm,,0.00,0.00,0.00
,IFCSBANK2309003338SIF,,0.00,C010132nm,,0.00,0.00,0.00
,IFCSBANK2309003339SIF,,0.00,C010134nm,,0.00,0.00,0.00
,IFCSBANK2309003340SIF,,0.00,C010136nm,,0.00,0.00,0.00
,IFCSBANK2309003341SIF,,0.00,C010138nm,,0.00,0.00,0.00
,IFCSBANK2309003342SIF,,0.00,C010142nm,,0.00,0.00,0.00
,IFCSBANK2309003343SIF,,0.00,C010144nm,,0.00,0.00,0.00
,IFCSBANK2309003344SIF,,0.00,C010146nm,,0.00,0.00,0.00
,IFCSBANK2309003345SIF,,0.00,C010148nm,,0.00,0.00,0.00
,IFCSBANK2309003346SIF,,0.00,C010152nm,,0.00,0.00,0.00
,IFCSBANK2309003347SIF,,0.00,C010154nm,,0.00,0.00,0.00
,IFCSBANK2309003348SIF,,0.00,C010162nm,,0.00,0.00,0.00
,IFCSBANK2309003349SIF,,0.00,C010166nm,,0.00,0.00,0.00
,IFCSBANK2309003350SIF,,0.00,C010168nm,,0.00,0.00,0.00
,IFCSBANK2309003351SIF,,0.00,C010176nm,,0.00,0.00,0.00
,IFCSBANK2309003352SIF,,0.00,C010178nm,,0.00,0.00,0.00
,IFCSBANK2309003353SIF,,0.00,C010180nm,,0.00,0.00,0.00
,IFCSBANK2309003354SIF,,0.00,C010182nm,,0.00,0.00,0.00
,IFCSBANK2309003355SIF,,0.00,C010194NM,,0.00,0.00,0.00
,IFCSBANK2309003356SIF,,0.00,C010196nm,,0.00,0.00,0.00
,IFCSBANK2309003357SIF,,0.00,C010198nm,,0.00,0.00,0.00
,IFCSBANK2309003358SIF,,0.00,C010211nm,,0.00,0.00,0.00
,IFCSBANK2309003359SIF,,0.00,C010214nm,,0.00,0.00,0.00
,IFCSBANK2309003360SIF,,0.00,C010217nm,,0.00,0.00,0.00
,IFCSBANK2309003361SIF,,0.00,C010225nm,,0.00,0.00,0.00
,IFCSBANK2309003362SIF,,0.00,C010227nm,,0.00,0.00,0.00
,IFCSBANK2309003363SIF,,0.00,C010229nm,,0.00,0.00,0.00
,IFCSBANK2309003364SIF,,0.00,C010231nm,,0.00,0.00,0.00
,IFCSBANK2309003365SIF,,0.00,C010245nm,,0.00,0.00,0.00
,IFCSBANK2309003366SIF,,0.00,C010249nm,,0.00,0.00,0.00
,IFCSBANK2309003367SIF,,0.00,C010251nm,,0.00,0.00,0.00
,IFCSBANK2309003368SIF,,0.00,C010253nm,,0.00,0.00,0.00
,IFCSBANK2309003369SIF,,0.00,C010255nm,,0.00,0.00,0.00
,IFCSBANK2309003370SIF,,0.00,C010257nm,,0.00,0.00,0.00
,IFCSBANK2309003371SIF,,0.00,C010259nm,,0.00,0.00,0.00
,IFCSBANK2309003372SIF,,0.00,C010261nm,,0.00,0.00,0.00
,IFCSBANK2309003373SIF,,0.00,C010263nm,,0.00,0.00,0.00
,IFCSBANK2309003374SIF,,0.00,C010265nm,,0.00,0.00,0.00
,,,,,,,,,
,IFCSBANK2309003375SIF,,0.00,C010267nm,,0.00,0.00,0.00
,IFCSBANK2309003376SIF,,0.00,C010269nm,,0.00,0.00,0.00
,IFCSBANK2309003377SIF,,0.00,C010271nm,,0.00,0.00,0.00
,IFCSBANK2309003378SIF,,0.00,C010273nm,,0.00,0.00,0.00
,IFCSBANK2309003379SIF,,0.00,C010275nm,,0.00,0.00,0.00
,IFCSBANK2309003380SIF,,0.00,C010280nm,,0.00,0.00,0.00
,IFCSBANK2309003381SIF,,0.00,C010284nm,,0.00,0.00,0.00
,IFCSBANK2309003382SIF,,0.00,C010286nm,,0.00,0.00,0.00
,IFCSBANK2309003383SIF,,0.00,C010288nm,,0.00,0.00,0.00
,IFCSBANK2309003384SIF,,0.00,C010290nm,,0.00,0.00,0.00
,IFCSBANK2309003385SIF,,0.00,C010294nm,,0.00,0.00,0.00
,IFCSBANK2309003386SIF,,0.00,C010296nm,,0.00,0.00,0.00
,IFCSBANK2309003387SIF,,0.00,C010298nm,,0.00,0.00,0.00
,IFCSBANK2309003388SIF,,0.00,C010302nm,,0.00,0.00,0.00
,IFCSBANK2309003389SIF,,0.00,C010304nm,,0.00,0.00,0.00
,IFCSBANK2309003390SIF,,0.00,C010306nm,,0.00,0.00,0.00
,IFCSBANK2309003391SIF,,0.00,C010309nm,,0.00,0.00,0.00
,IFCSBANK2309003392SIF,,0.00,C010311nm,,0.00,0.00,0.00
,IFCSBANK2309003393SIF,,0.00,C010313nm,,0.00,0.00,0.00
,IFCSBANK2309003394SIF,,0.00,C010315nm,,0.00,0.00,0.00
,IFCSBANK2309003395SIF,,0.00,C010317nm,,0.00,0.00,0.00
,IFCSBANK2309003396SIF,,0.00,C010321nm,,0.00,0.00,0.00
,IFCSBANK2309003397SIF,,0.00,C010323nm,,0.00,0.00,0.00
,IFCSBANK2309003398SIF,,0.00,C010325nm,,0.00,0.00,0.00
,IFCSBANK2309003399SIF,,0.00,C010334nm,,0.00,0.00,0.00
,IFCSBANK2309003400SIF,,0.00,C010342nm,,0.00,0.00,0.00
,IFCSBANK2309003401SIF,,0.00,C010344nm,,0.00,0.00,0.00
,IFCSBANK2309003402SIF,,0.00,C010346nm,,0.00,0.00,0.00
,IFCSBANK2309003403SIF,,0.00,C010350nm,,0.00,0.00,0.00
,IFCSBANK2309003404SIF,,0.00,C010352nm,,0.00,0.00,0.00
,IFCSBANK2309003405SIF,,0.00,C010355nm,,0.00,0.00,0.00
,IFCSBANK2309003406SIF,,0.00,C010357nm,,0.00,0.00,0.00
,IFCSBANK2309003407SIF,,0.00,C010360nm,,0.00,0.00,0.00
,IFCSBANK2309003408SIF,,0.00,C010362nm,,0.00,0.00,0.00
,IFCSBANK2309003409SIF,,0.00,C010366nm,,0.00,0.00,0.00
,IFCSBANK2309003410SIF,,0.00,C010427nm,,0.00,0.00,0.00
,IFCSBANK2309003411SIF,,0.00,C010434nm,,0.00,0.00,0.00
,IFCSBANK2309003412SIF,,0.00,C010442nm,,0.00,0.00,0.00
,IFCSBANK2309003413SIF,,0.00,C010446nm,,0.00,0.00,0.00
,IFCSBANK2309003414SIF,,0.00,C010451nm,,0.00,0.00,0.00
,,,,,,,,,
,IFCSBANK2310003415SIF,,0.00,C010633nm,,0.00,0.00,0.00
,IFCSBANK2310003416SIF,,0.00,C010771nm,,0.00,0.00,0.00
,IFCSBANK2310003417SIF,,0.00,C010777nm,,0.00,0.00,0.00
,IFCSBANK2310003418SIF,,0.00,C010779nm,,0.00,0.00,0.00
,IFCSBANK2310003419SIF,,0.00,C010782nm,,0.00,0.00,0.00
,IFCSBANK2310003420SIF,,0.00,C010785nm,,0.00,0.00,0.00
,IFCSBANK2310003421SIF,,0.00,C010791nm,,0.00,0.00,0.00
,IFCSBANK2310003422SIF,,0.00,C010872nm,,0.00,0.00,0.00
,IFCSBANK2310003423SIF,,0.00,C010896nm,,0.00,0.00,0.00
,IFCSBANK2311003424SIF,,0.00,C011027nm,,0.00,0.00,0.00
,IFCSBANK2311003425SIF,,0.00,C011047nm,,0.00,0.00,0.00
,IFCSBANK2311003426SIF,,0.00,C011056nm,,0.00,0.00,0.00
,IFCSBANK2311003427SIF,,0.00,C011060nm,,0.00,0.00,0.00
,IFCSBANK2311003428SIF,,0.00,C011076nm,,0.00,0.00,0.00
,IFCSBANK2311003429SIF,,0.00,C011078nm,,0.00,0.00,0.00
,IFCSBANK2311003430SIF,,0.00,C011082nm,,0.00,0.00,0.00
,IFCSBANK2311003431SIF,,0.00,C011086nm,,0.00,0.00,0.00
,IFCSBANK2311003432SIF,,0.00,C011090nm,,0.00,0.00,0.00
,IFCSBANK2311003433SIF,,0.00,C011092nm,,0.00,0.00,0.00
,IFCSBANK2311003434SIF,,0.00,C011094nm,,0.00,0.00,0.00
,IFCSBANK2311003435SIF,,0.00,C011100nm,,0.00,0.00,0.00
,IFCSBANK2311003436SIF,,0.00,C011102nm,,0.00,0.00,0.00
,IFCSBANK2311003437SIF,,0.00,C011104nm,,0.00,0.00,0.00
,IFCSBANK2311003438SIF,,0.00,C011106nm,,0.00,0.00,0.00
,IFCSBANK2311003439SIF,,0.00,C011108nm,,0.00,0.00,0.00
,IFCSBANK2311003440SIF,,0.00,C011110nm,,0.00,0.00,0.00
,IFCSBANK2311003441SIF,,0.00,C011112nm,,0.00,0.00,0.00
,IFCSBANK2311003442SIF,,0.00,C011114nm,,0.00,0.00,0.00
,IFCSBANK2311003443SIF,,0.00,C011116nm,,0.00,0.00,0.00
,IFCSBANK2311003444SIF,,0.00,C011118nm,,0.00,0.00,0.00
,IFCSBANK2311003445SIF,,0.00,C011120nm,,0.00,0.00,0.00
,IFCSBANK2311003446SIF,,0.00,C011122nm,,0.00,0.00,0.00
,IFCSBANK2311003447SIF,,0.00,C011124nm,,0.00,0.00,0.00
,IFCSBANK2311003448SIF,,0.00,C011126nm,,0.00,0.00,0.00
,IFCSBANK2311003449SIF,,0.00,C011128nm,,0.00,0.00,0.00
,IFCSBANK2311003450SIF,,0.00,C011136nm,,0.00,0.00,0.00
,IFCSBANK2311003451SIF,,0.00,C011156nm,,0.00,0.00,0.00
,IFCSBANK2311003452SIF,,0.00,C011158nm,,0.00,0.00,0.00
,IFCSBANK2405003453SIF,,0.00,IF SELLER 1,,0.00,0.00,0.00
,IFCSBANK2405003454SIF,,0.00,IF BUYER BBB,,0.00,0.00,0.00
,,,,,,,,,
,IFCSBANK2405003455SIF,,0.00,IF SELLER BBB,,0.00,0.00,0.00
,IFCSBANK2406003456SIF,,0.00,IF SELLER DEF,,0.00,0.00,0.00
,IFCSBANK2406003457SIF,,0.00,IF SELLER JKL,,0.00,0.00,0.00
,IFCSBANK2406003458SIF,,0.00,IF SELLER PQR,,0.00,0.00,0.00
,IFCSBANK2406003459SIF,,0.00,IF SELLER YYY,,0.00,0.00,0.00
,,,,,,,,,
